Cuenta,Subcuenta,Objeto/proyecto,Subproyecto,Aporte nacional,Recursos propios,Apropiación en precios corrientes,Código de entidad,Tipo de gasto,Entidad,Código de sector,Sector,Unidad,Código de unidad
Fortalecimiento de la gestión y dirección del sector congreso de la república,Intersubsectorial gobierno,"Adecuación de la infraestructura física del senado de la república, a nivel  nacional",,17387150000.0,,17387150000.0,101,C. inversion,Congreso de la república,1.0,Congreso de la república,Senado de la república,10101
Fortalecimiento de la gestión y dirección del sector congreso de la república,Intersubsectorial gobierno,Mejoramiento de las condiciones de seguridad y protección en los desplazamientos de los representantes a la cámara.  nacional,,61974000000.0,,61974000000.0,101,C. inversion,Congreso de la república,1.0,Congreso de la república,Cámara de representantes,10102
Gastos de personal,Planta de personal permanente,Salario,,75854071307.872,,75854071307.872,201,A. funcionamiento,Presidencia de la república,2.0,Presidencia de la república,Gestion general,20101
Gastos de personal,Planta de personal permanente,Contribuciones inherentes a la nómina,,31113702400.0,,31113702400.0,201,A. funcionamiento,Presidencia de la república,2.0,Presidencia de la república,Gestion general,20101
Gastos de personal,Planta de personal permanente,Remuneraciones no constitutivas de factor salarial,,36625984292.128,,36625984292.128,201,A. funcionamiento,Presidencia de la república,2.0,Presidencia de la república,Gestion general,20101
Adquisición de bienes  y servicios,Adquisición de activos no financieros,,,723030000.0,,723030000.0,201,A. funcionamiento,Presidencia de la república,2.0,Presidencia de la república,Gestion general,20101
Adquisición de bienes  y servicios,Adquisiciones diferentes de activos,,,57816160235.944,,57816160235.944,201,A. funcionamiento,Presidencia de la república,2.0,Presidencia de la república,Gestion general,20101
Transferencias corrientes,A entidades del gobierno,A órganos del pgn,Fondo de programas especiales para la paz : programa desmovilizados,14185160000.0,,14185160000.0,201,A. funcionamiento,Presidencia de la república,2.0,Presidencia de la república,Gestion general,20101
Transferencias corrientes,A entidades del gobierno,A órganos del pgn,Plan de promocion de colombia en el exterior,1550727200.0,,1550727200.0,201,A. funcionamiento,Presidencia de la república,2.0,Presidencia de la república,Gestion general,20101
Transferencias corrientes,A entidades del gobierno,A órganos del pgn,"Transferencias para la estrategia de interacción y diálogo permanente entre las autoridades del orden territorial, gobierno nacional y los ciudadanos",9640400000.0,,9640400000.0,201,A. funcionamiento,Presidencia de la república,2.0,Presidencia de la república,Gestion general,20101
Transferencias corrientes,A entidades del gobierno,A órganos del pgn,Otras transferencias - previo concepto dgppn,2474901364.0559998,,2474901364.0559998,201,A. funcionamiento,Presidencia de la república,2.0,Presidencia de la república,Gestion general,20101
Transferencias corrientes,Sentencias y conciliaciones,Fallos nacionales,Sentencias,1220199200.0,,1220199200.0,201,A. funcionamiento,Presidencia de la república,2.0,Presidencia de la república,Gestion general,20101
"Gastos por tributos, multas, sanciones e intereses de mora",Impuestos,,,286457600.0,,286457600.0,201,A. funcionamiento,Presidencia de la república,2.0,Presidencia de la república,Gestion general,20101
"Gastos por tributos, multas, sanciones e intereses de mora",Tasas y derechos administrativos,,,88140800.0,,88140800.0,201,A. funcionamiento,Presidencia de la república,2.0,Presidencia de la república,Gestion general,20101
"Gastos por tributos, multas, sanciones e intereses de mora",Contribuciones,Cuota de fiscalización y auditaje,,600459200.0,,600459200.0,201,A. funcionamiento,Presidencia de la república,2.0,Presidencia de la república,Gestion general,20101
"Gastos por tributos, multas, sanciones e intereses de mora",Contribuciones,Contribución nacional de valorización,,50956400.0,,50956400.0,201,A. funcionamiento,Presidencia de la república,2.0,Presidencia de la república,Gestion general,20101
Articulación y fortalecimiento de la respuesta del estado en materia de derechos humanos desde el sector presidencia,Intersubsectorial gobierno,"Diseño e implementación del sistema nacional de información para el seguimiento, monitoreo y evaluación de la política pública integral en derechos humanos  nacional",,1170145396.222,,1170145396.222,201,C. inversion,Presidencia de la república,2.0,Presidencia de la república,Gestion general,20101
Articulación y fortalecimiento de la respuesta del estado en materia de derechos humanos desde el sector presidencia,Intersubsectorial gobierno,"Fortalecimiento de las entidades del estado que conforman el sistema nacional de derechos humanos y dih para diseñar, implementar y evaluar la política integral en la materia, y construir una cultura de derechos humanos y dih.  nacional",,550880000.0,,550880000.0,201,C. inversion,Presidencia de la república,2.0,Presidencia de la república,Gestion general,20101
Articulación y fortalecimiento de la respuesta del estado en materia de derechos humanos desde el sector presidencia,Intersubsectorial gobierno,"Desarrollo de la política intersectorial de prevención del reclutamiento, utilización, uso y violencia sexual de niños, niñas y adolescentes por parte de grupos armados al margen de a ley y grupos delictivos organizados   nacional",,2206274400.0,,2206274400.0,201,C. inversion,Presidencia de la república,2.0,Presidencia de la república,Gestion general,20101
Gestión de espacios para fortalecer el desarrollo integral de la primera infancia desde el sector presidencia,Intersubsectorial gobierno,Fortalecimiento de la coordinación y articulación intersectorial para la sostenibilidad en la implementación de la política de estado para el desarrollo integral de la primera infancia a nivel   nacional,,4682480000.0,,4682480000.0,201,C. inversion,Presidencia de la república,2.0,Presidencia de la república,Gestion general,20101
Consolidación de la lucha contra la corrupción desde el sector presidencia,Intersubsectorial gobierno,"Fortalecimiento de la institucionalidad, las herramientas y los mecanismos para la promoción y garantía de la transparencia, acceso a la información pública y lucha contra la corrupción a nivel  nacional",,2754400000.0,,2754400000.0,201,C. inversion,Presidencia de la república,2.0,Presidencia de la república,Gestion general,20101
Gestión para impulsar el desarrollo integral de los y las jóvenes desde el sector presidencia,Intersubsectorial gobierno,Mejoramiento de las capacidades para la incidencia y gestión del sistema nacional de juventud a nivel  nacional,,2655033232.3944,,2655033232.3944,201,C. inversion,Presidencia de la república,2.0,Presidencia de la república,Gestion general,20101
Fortalecimiento de las capacidades institucionales en transversalización del enfoque de género dentro de las entidades de los niveles nacional y territorial desde el sector presidencia,Intersubsectorial gobierno,Implementación de los enfoques de género e interseccionalidad en la gestión pública a nivel   nacional,,4489672000.0,,4489672000.0,201,C. inversion,Presidencia de la república,2.0,Presidencia de la república,Gestion general,20101
Acción integral contra minas antipersonal como mecanismo de transición hacia la paz territorial desde el sector presidencia,Intersubsectorial gobierno,Consolidación de la acción integral contra minas antipersonal en el marco del posconflicto a nivel   nacional,,5518084381.4052,,5518084381.4052,201,C. inversion,Presidencia de la república,2.0,Presidencia de la república,Gestion general,20101
Fortalecimiento de la gestión y dirección del sector presidencia,Intersubsectorial gobierno,"Fortalecimiento y protección de los bienes muebles e inmuebles de la presidencia de la república en  cartagena, bogotá, sopó",,10136192000.0,,10136192000.0,201,C. inversion,Presidencia de la república,2.0,Presidencia de la república,Gestion general,20101
Fortalecimiento de la gestión y dirección del sector presidencia,Intersubsectorial gobierno,Mejoramiento en la organización técnica del archivo central del dapre a nivel  bogotá,,2950515533.0992,,2950515533.0992,201,C. inversion,Presidencia de la república,2.0,Presidencia de la república,Gestion general,20101
Fortalecimiento de la gestión y dirección del sector presidencia,Intersubsectorial gobierno,"Fortalecimiento de la plataforma de tic del departamento administrativo de la presidencia de la república en las sedes de   bogotá, cartagena, sopó",,15837800000.0,,15837800000.0,201,C. inversion,Presidencia de la república,2.0,Presidencia de la república,Gestion general,20101
Gastos de personal,Planta de personal permanente,Salario,,8932519200.0,,8932519200.0,209,A. funcionamiento,"Agencia presidencial de cooperación internacional de colombia, apc - colombia",2.0,Presidencia de la república,Gestion general,20101
Gastos de personal,Planta de personal permanente,Contribuciones inherentes a la nómina,,3431982400.0,,3431982400.0,209,A. funcionamiento,"Agencia presidencial de cooperación internacional de colombia, apc - colombia",2.0,Presidencia de la república,Gestion general,20101
Gastos de personal,Planta de personal permanente,Remuneraciones no constitutivas de factor salarial,,915838000.0,,915838000.0,209,A. funcionamiento,"Agencia presidencial de cooperación internacional de colombia, apc - colombia",2.0,Presidencia de la república,Gestion general,20101
Adquisición de bienes  y servicios,Adquisiciones diferentes de activos,,,5266412800.0,,5266412800.0,209,A. funcionamiento,"Agencia presidencial de cooperación internacional de colombia, apc - colombia",2.0,Presidencia de la república,Gestion general,20101
Transferencias corrientes,A gobiernos y organizaciones internacionales,A organizaciones internacionales,Fondo de cooperación y asistencia internacional  (ley 318 de 1996),20477586800.0,,20477586800.0,209,A. funcionamiento,"Agencia presidencial de cooperación internacional de colombia, apc - colombia",2.0,Presidencia de la república,Gestion general,20101
"Gastos por tributos, multas, sanciones e intereses de mora",Impuestos,,,1377200.0,,1377200.0,209,A. funcionamiento,"Agencia presidencial de cooperación internacional de colombia, apc - colombia",2.0,Presidencia de la república,Gestion general,20101
"Gastos por tributos, multas, sanciones e intereses de mora",Contribuciones,Cuota de fiscalización y auditaje,,107421600.0,,107421600.0,209,A. funcionamiento,"Agencia presidencial de cooperación internacional de colombia, apc - colombia",2.0,Presidencia de la república,Gestion general,20101
Gestión de la cooperación internacional del sector presidencia,Intersubsectorial gobierno,"Fortalecimiento de la oferta académica internacional de colombia en el marco de la cooperación sur-sur,  nacional",,1822843672.1,,1822843672.1,209,C. inversion,"Agencia presidencial de cooperación internacional de colombia, apc - colombia",2.0,Presidencia de la república,Gestion general,20101
Gestión de la cooperación internacional del sector presidencia,Intersubsectorial gobierno,Implementación de proyectos de cooperación internacional no reembolsable con aporte de recursos de contrapartida  nacional,,3645687346.9544,,3645687346.9544,209,C. inversion,"Agencia presidencial de cooperación internacional de colombia, apc - colombia",2.0,Presidencia de la república,Gestion general,20101
Gestión de la cooperación internacional del sector presidencia,Intersubsectorial gobierno,Distribución de recursos de cooperación internacional no reembolsable a entidades del orden  nacional - distribución previo concepto dnp,,,41510185200.0,41510185200.0,209,C. inversion,"Agencia presidencial de cooperación internacional de colombia, apc - colombia",2.0,Presidencia de la república,Gestion general,20101
Gestión de la cooperación internacional del sector presidencia,Intersubsectorial gobierno,"Administración , ejecución y seguimiento de recursos de cooperación internacional a nivel  nacional",,,83859085200.0,83859085200.0,209,C. inversion,"Agencia presidencial de cooperación internacional de colombia, apc - colombia",2.0,Presidencia de la república,Gestion general,20101
Gestión de la cooperación internacional del sector presidencia,Intersubsectorial gobierno,Fortalecimiento de las capacidades tecnológicas de la información en apc-colombia   nacional,,1041624955.8792,,1041624955.8792,209,C. inversion,"Agencia presidencial de cooperación internacional de colombia, apc - colombia",2.0,Presidencia de la república,Gestion general,20101
Gastos de personal,Planta de personal permanente,Salario,,8823720400.0,,8823720400.0,211,A. funcionamiento,Unidad nacional para la gestión del riesgo de desastres,2.0,Presidencia de la república,Gestion general,20101
Gastos de personal,Planta de personal permanente,Contribuciones inherentes a la nómina,,3043612000.0,,3043612000.0,211,A. funcionamiento,Unidad nacional para la gestión del riesgo de desastres,2.0,Presidencia de la república,Gestion general,20101
Gastos de personal,Planta de personal permanente,Remuneraciones no constitutivas de factor salarial,,422800400.0,,422800400.0,211,A. funcionamiento,Unidad nacional para la gestión del riesgo de desastres,2.0,Presidencia de la república,Gestion general,20101
Adquisición de bienes  y servicios,Adquisición de activos no financieros,,,532976400.0,,532976400.0,211,A. funcionamiento,Unidad nacional para la gestión del riesgo de desastres,2.0,Presidencia de la república,Gestion general,20101
Adquisición de bienes  y servicios,Adquisiciones diferentes de activos,,,4360215200.0,,4360215200.0,211,A. funcionamiento,Unidad nacional para la gestión del riesgo de desastres,2.0,Presidencia de la república,Gestion general,20101
Transferencias corrientes,A entidades del gobierno,A órganos del pgn,Otras transferencias - previo concepto dgppn,1800000400.0,,1800000400.0,211,A. funcionamiento,Unidad nacional para la gestión del riesgo de desastres,2.0,Presidencia de la república,Gestion general,20101
Transferencias corrientes,A entidades del gobierno,A otras entidades del gobierno general,Atencion de desastres y emergencias en el territorio nacional -fondo nacional de gestion del riego de desastres,57980120000.0,,57980120000.0,211,A. funcionamiento,Unidad nacional para la gestión del riesgo de desastres,2.0,Presidencia de la república,Gestion general,20101
Transferencias corrientes,Sentencias y conciliaciones,Fallos nacionales,Sentencias,181790400.0,,181790400.0,211,A. funcionamiento,Unidad nacional para la gestión del riesgo de desastres,2.0,Presidencia de la república,Gestion general,20101
Transferencias corrientes,Sentencias y conciliaciones,Fallos nacionales,Conciliaciones,181790400.0,,181790400.0,211,A. funcionamiento,Unidad nacional para la gestión del riesgo de desastres,2.0,Presidencia de la república,Gestion general,20101
"Gastos por tributos, multas, sanciones e intereses de mora",Impuestos,,,9640400.0,,9640400.0,211,A. funcionamiento,Unidad nacional para la gestión del riesgo de desastres,2.0,Presidencia de la república,Gestion general,20101
"Gastos por tributos, multas, sanciones e intereses de mora",Contribuciones,Cuota de fiscalización y auditaje,,232746800.0,,232746800.0,211,A. funcionamiento,Unidad nacional para la gestión del riesgo de desastres,2.0,Presidencia de la república,Gestion general,20101
Prevención y mitigación del riesgo de desastres desde el sector presidencia,Intersubsectorial gobierno,"Fortalecimiento  de la reducción del riesgo de desastres en el marco de la ley 1523 de 2012, por fenómeno de erosión costera en la ciudad de  cartagena",,68860000000.0,,68860000000.0,211,C. inversion,Unidad nacional para la gestión del riesgo de desastres,2.0,Presidencia de la república,Gestion general,20101
Prevención y mitigación del riesgo de desastres desde el sector presidencia,Intersubsectorial gobierno,"Fortalecimiento de la gestión del riesgo de desastres en la  zona de amenaza volcánica alta-zava del volcán galeras  pasto, nariño, la florida",,28778567001.509598,,28778567001.509598,211,C. inversion,Unidad nacional para la gestión del riesgo de desastres,2.0,Presidencia de la república,Gestion general,20101
Gastos de personal,Planta de personal permanente,Salario,,33194654354.399998,,33194654354.399998,212,A. funcionamiento,Agencia para la reincorporación y la normalización - arn,2.0,Presidencia de la república,Gestion general,20101
Gastos de personal,Planta de personal permanente,Contribuciones inherentes a la nómina,,11722207195.6,,11722207195.6,212,A. funcionamiento,Agencia para la reincorporación y la normalización - arn,2.0,Presidencia de la república,Gestion general,20101
Gastos de personal,Planta de personal permanente,Remuneraciones no constitutivas de factor salarial,,1149900026.0,,1149900026.0,212,A. funcionamiento,Agencia para la reincorporación y la normalización - arn,2.0,Presidencia de la república,Gestion general,20101
Adquisición de bienes  y servicios,Adquisiciones diferentes de activos,,,10764307145.702,,10764307145.702,212,A. funcionamiento,Agencia para la reincorporación y la normalización - arn,2.0,Presidencia de la república,Gestion general,20101
Transferencias corrientes,A entidades del gobierno,A órganos del pgn,Fondo de programas especiales para la paz: programa de reintegracion social y economica,133259946476.36,,133259946476.36,212,A. funcionamiento,Agencia para la reincorporación y la normalización - arn,2.0,Presidencia de la república,Gestion general,20101
"Gastos por tributos, multas, sanciones e intereses de mora",Impuestos,,,437949.6,,437949.6,212,A. funcionamiento,Agencia para la reincorporación y la normalización - arn,2.0,Presidencia de la república,Gestion general,20101
"Gastos por tributos, multas, sanciones e intereses de mora",Contribuciones,Cuota de fiscalización y auditaje,,330202980.8,,330202980.8,212,A. funcionamiento,Agencia para la reincorporación y la normalización - arn,2.0,Presidencia de la república,Gestion general,20101
Reintegración de personas y grupos alzados en armas desde el sector presidencia,Intersubsectorial gobierno,"Servicio en generación de espacios de convivencia, reconciliación, reintegración y fortalecimiento de entornos protectores de los nnaj.   nacional",,655588447.14,,655588447.14,212,C. inversion,Agencia para la reincorporación y la normalización - arn,2.0,Presidencia de la república,Gestion general,20101
Reintegración de personas y grupos alzados en armas desde el sector presidencia,Intersubsectorial gobierno,Prevención riesgos de victimización y reincidencia en población en proceso de reintegración y en reincorporación  nacional,,702685301.9824,,702685301.9824,212,C. inversion,Agencia para la reincorporación y la normalización - arn,2.0,Presidencia de la república,Gestion general,20101
Reintegración de personas y grupos alzados en armas desde el sector presidencia,Intersubsectorial gobierno,Fortalecimiento de la reincorporación de los exintegrantes de las farc-ep  nacional,,465841005.58599997,,465841005.58599997,212,C. inversion,Agencia para la reincorporación y la normalización - arn,2.0,Presidencia de la república,Gestion general,20101
Gastos de personal,Planta de personal permanente,Salario,,2934967797.586,,2934967797.586,213,A. funcionamiento,Agencia nacional inmobiliaria virgilio barco vargas,2.0,Presidencia de la república,Gestion general,20101
Gastos de personal,Planta de personal permanente,Contribuciones inherentes a la nómina,,1244781806.84,,1244781806.84,213,A. funcionamiento,Agencia nacional inmobiliaria virgilio barco vargas,2.0,Presidencia de la república,Gestion general,20101
Gastos de personal,Planta de personal permanente,Remuneraciones no constitutivas de factor salarial,,949068596.52,,949068596.52,213,A. funcionamiento,Agencia nacional inmobiliaria virgilio barco vargas,2.0,Presidencia de la república,Gestion general,20101
Adquisición de bienes  y servicios,Adquisición de activos no financieros,,,3443000.0,,3443000.0,213,A. funcionamiento,Agencia nacional inmobiliaria virgilio barco vargas,2.0,Presidencia de la república,Gestion general,20101
Adquisición de bienes  y servicios,Adquisiciones diferentes de activos,,,1385597724.896,116511120.0,1502108844.896,213,A. funcionamiento,Agencia nacional inmobiliaria virgilio barco vargas,2.0,Presidencia de la república,Gestion general,20101
Transferencias corrientes,Prestaciones sociales,Prestaciones sociales relacionadas con el empleo,Incapacidades y licencias de maternidad (no de pensiones),13772000.0,,13772000.0,213,A. funcionamiento,Agencia nacional inmobiliaria virgilio barco vargas,2.0,Presidencia de la república,Gestion general,20101
"Gastos por tributos, multas, sanciones e intereses de mora",Impuestos,,,76591352.904,,76591352.904,213,A. funcionamiento,Agencia nacional inmobiliaria virgilio barco vargas,2.0,Presidencia de la república,Gestion general,20101
"Gastos por tributos, multas, sanciones e intereses de mora",Contribuciones,Cuota de fiscalización y auditaje,,117736828.0,,117736828.0,213,A. funcionamiento,Agencia nacional inmobiliaria virgilio barco vargas,2.0,Presidencia de la república,Gestion general,20101
Fortalecimiento de la infraestructura física de las entidades del estado del nivel nacional desde el sector presidencia,Intersubsectorial gobierno,Renovación urbana ciudad can  bogotá,,4657189802.9492,,4657189802.9492,213,C. inversion,Agencia nacional inmobiliaria virgilio barco vargas,2.0,Presidencia de la república,Gestion general,20101
Fortalecimiento de la infraestructura física de las entidades del estado del nivel nacional desde el sector presidencia,Intersubsectorial gobierno,Desarrollo y formulación de proyectos estratégicos de renovación y desarrollo urbano en municipios y distritos de colombia  nacional,,3530264197.0508,,3530264197.0508,213,C. inversion,Agencia nacional inmobiliaria virgilio barco vargas,2.0,Presidencia de la república,Gestion general,20101
Gastos de personal,Planta de personal permanente,Salario,,30352110800.0,,30352110800.0,301,A. funcionamiento,Departamento administrativo nacional de planeación,3.0,Planeación,Gestion general,30101
Gastos de personal,Planta de personal permanente,Contribuciones inherentes a la nómina,,10890897600.0,,10890897600.0,301,A. funcionamiento,Departamento administrativo nacional de planeación,3.0,Planeación,Gestion general,30101
Gastos de personal,Planta de personal permanente,Remuneraciones no constitutivas de factor salarial,,6756543200.0,,6756543200.0,301,A. funcionamiento,Departamento administrativo nacional de planeación,3.0,Planeación,Gestion general,30101
Adquisición de bienes  y servicios,Adquisición de activos no financieros,,,437949600.0,,437949600.0,301,A. funcionamiento,Departamento administrativo nacional de planeación,3.0,Planeación,Gestion general,30101
Adquisición de bienes  y servicios,Adquisiciones diferentes de activos,,,42678514916.4,,42678514916.4,301,A. funcionamiento,Departamento administrativo nacional de planeación,3.0,Planeación,Gestion general,30101
Transferencias corrientes,Prestaciones sociales,Prestaciones sociales relacionadas con el empleo,Mesadas pensionales (de pensiones),1308340000.0,,1308340000.0,301,A. funcionamiento,Departamento administrativo nacional de planeación,3.0,Planeación,Gestion general,30101
Transferencias corrientes,Prestaciones sociales,Prestaciones sociales relacionadas con el empleo,Cuotas partes pensionales (de pensiones),753328400.0,,753328400.0,301,A. funcionamiento,Departamento administrativo nacional de planeación,3.0,Planeación,Gestion general,30101
Transferencias corrientes,Prestaciones sociales,Prestaciones sociales relacionadas con el empleo,Bonos pensionales (de pensiones),537108000.0,,537108000.0,301,A. funcionamiento,Departamento administrativo nacional de planeación,3.0,Planeación,Gestion general,30101
Transferencias corrientes,Prestaciones sociales,Prestaciones sociales relacionadas con el empleo,Incapacidades y licencias de maternidad (no de pensiones),238668760.0,,238668760.0,301,A. funcionamiento,Departamento administrativo nacional de planeación,3.0,Planeación,Gestion general,30101
Transferencias corrientes,Sentencias y conciliaciones,Fallos nacionales,Conciliaciones,1444682800.0,,1444682800.0,301,A. funcionamiento,Departamento administrativo nacional de planeación,3.0,Planeación,Gestion general,30101
"Gastos por tributos, multas, sanciones e intereses de mora",Impuestos,,,81254800.0,,81254800.0,301,A. funcionamiento,Departamento administrativo nacional de planeación,3.0,Planeación,Gestion general,30101
"Gastos por tributos, multas, sanciones e intereses de mora",Contribuciones,Cuota de fiscalización y auditaje,,1013619200.0,,1013619200.0,301,A. funcionamiento,Departamento administrativo nacional de planeación,3.0,Planeación,Gestion general,30101
"Mejoramiento de la planeación territorial, sectorial y de inversión pública",Intersubsectorial gobierno,Servicio de pago de las obligaciones pendientes de los proyectos aprobados por el consejo asesor de regalías   nacional,,27928661444.776398,,27928661444.776398,301,C. inversion,Departamento administrativo nacional de planeación,3.0,Planeación,Gestion general,30101
"Mejoramiento de la planeación territorial, sectorial y de inversión pública",Intersubsectorial gobierno,"Apoyo capacidades institucionales para la construcción de paz y el análisis, gestión y transformación de conflictos   nacional",,1027391200.0,,1027391200.0,301,C. inversion,Departamento administrativo nacional de planeación,3.0,Planeación,Gestion general,30101
"Mejoramiento de la planeación territorial, sectorial y de inversión pública",Intersubsectorial gobierno,"Diseño  y articulación de los instrumentos, estrategias, lineamientos y demás requerimientos técnicos para el desarrollo de la política pública de protección social   a nivel  nacional",,40731391968.4804,,40731391968.4804,301,C. inversion,Departamento administrativo nacional de planeación,3.0,Planeación,Gestion general,30101
"Mejoramiento de la planeación territorial, sectorial y de inversión pública",Intersubsectorial gobierno,Fortalecimiento de los mecanismos técnicos y regulatorios que promuevan la vinculación del sector privado en infraestructura productiva y social  nacional,,13913851600.0,,13913851600.0,301,C. inversion,Departamento administrativo nacional de planeación,3.0,Planeación,Gestion general,30101
"Mejoramiento de la planeación territorial, sectorial y de inversión pública",Intersubsectorial gobierno,"Fortalecimiento del sistema de inversión pública en colombia, alcance  nacional",,5091064933.3368,,5091064933.3368,301,C. inversion,Departamento administrativo nacional de planeación,3.0,Planeación,Gestion general,30101
"Mejoramiento de la planeación territorial, sectorial y de inversión pública",Intersubsectorial gobierno,Apoyo al desarrollo de proyectos a través del fondo regional para los contratos plan.  nacional,,102418678301.5528,,102418678301.5528,301,C. inversion,Departamento administrativo nacional de planeación,3.0,Planeación,Gestion general,30101
