,Cuenta,Subcuenta,Objeto/proyecto,Subproyecto,Aporte nacional,Recursos propios,Apropiación en precios corrientes,Código de entidad,Tipo de gasto,Entidad,Código de sector,Sector,Año,Apropiación en precios corrientes (cifras en miles en millones de pesos)
26,Fortalecimiento de la gestión y dirección del sector congreso de la república,Intersubsectorial gobierno,Mejoramiento de las condiciones de seguridad y protección en los desplazamientos de los representantes a la cámara.  nacional,,61974000000,,61974000000.0,101,Inversión,Congreso de la república,1,Congreso de la república,2019,"61,97"
27,Gastos de personal,Planta de personal permanente,Salario,,75854071308,,75854071308.0,201,Funcionamiento,Presidencia de la república,2,Presidencia de la república,2019,"75,85"
28,Gastos de personal,Planta de personal permanente,Contribuciones inherentes a la nómina,,31113702400,,31113702400.0,201,Funcionamiento,Presidencia de la república,2,Presidencia de la república,2019,"31,11"
29,Gastos de personal,Planta de personal permanente,Remuneraciones no constitutivas de factor salarial,,36625984292,,36625984292.0,201,Funcionamiento,Presidencia de la república,2,Presidencia de la república,2019,"36,63"
30,Adquisición de bienes  y servicios,Adquisición de activos no financieros,,,723030000,,723030000.0,201,Funcionamiento,Presidencia de la república,2,Presidencia de la república,2019,"0,72"
31,Adquisición de bienes  y servicios,Adquisiciones diferentes de activos,,,57816160236,,57816160236.0,201,Funcionamiento,Presidencia de la república,2,Presidencia de la república,2019,"57,82"
32,Transferencias corrientes,A entidades del gobierno,A órganos del pgn,Fondo de programas especiales para la paz : programa desmovilizados,14185160000,,14185160000.0,201,Funcionamiento,Presidencia de la república,2,Presidencia de la república,2019,"14,19"
33,Transferencias corrientes,A entidades del gobierno,A órganos del pgn,Plan de promocion de colombia en el exterior,1550727200,,1550727200.0,201,Funcionamiento,Presidencia de la república,2,Presidencia de la república,2019,"1,55"
34,Transferencias corrientes,A entidades del gobierno,A órganos del pgn,"Transferencias para la estrategia de interacción y diálogo permanente entre las autoridades del orden territorial, gobierno nacional y los ciudadanos",9640400000,,9640400000.0,201,Funcionamiento,Presidencia de la república,2,Presidencia de la república,2019,"9,64"
35,Transferencias corrientes,A entidades del gobierno,A órganos del pgn,Otras transferencias - distribución previo concepto dgppn,2474901364,,2474901364.0,201,Funcionamiento,Presidencia de la república,2,Presidencia de la república,2019,"2,47"
36,Transferencias corrientes,Sentencias y conciliaciones,Fallos nacionales,Sentencias,1220199200,,1220199200.0,201,Funcionamiento,Presidencia de la república,2,Presidencia de la república,2019,"1,22"
37,"Gastos por tributos, multas, sanciones e intereses de mora",Impuestos,,,286457600,,286457600.0,201,Funcionamiento,Presidencia de la república,2,Presidencia de la república,2019,"0,29"
38,"Gastos por tributos, multas, sanciones e intereses de mora",Tasas y derechos administrativos,,,88140800,,88140800.0,201,Funcionamiento,Presidencia de la república,2,Presidencia de la república,2019,"0,09"
39,"Gastos por tributos, multas, sanciones e intereses de mora",Contribuciones,Cuota de fiscalización y auditaje,,600459200,,600459200.0,201,Funcionamiento,Presidencia de la república,2,Presidencia de la república,2019,"0,6"
40,"Gastos por tributos, multas, sanciones e intereses de mora",Contribuciones,Contribución nacional de valorización,,50956400,,50956400.0,201,Funcionamiento,Presidencia de la república,2,Presidencia de la república,2019,"0,05"
41,Articulación y fortalecimiento de la respuesta del estado en materia de derechos humanos desde el sector presidencia,Intersubsectorial gobierno,"Diseño e implementación del sistema nacional de información para el seguimiento, monitoreo y evaluación de la política pública integral en derechos humanos  nacional",,1170145396,,1170145396.0,201,Inversión,Presidencia de la república,2,Presidencia de la república,2019,"1,17"
42,Articulación y fortalecimiento de la respuesta del estado en materia de derechos humanos desde el sector presidencia,Intersubsectorial gobierno,"Fortalecimiento de las entidades del estado que conforman el sistema nacional de derechos humanos y dih para diseñar, implementar y evaluar la política integral en la materia, y construir una cultura de derechos humanos y dih.  nacional",,550880000,,550880000.0,201,Inversión,Presidencia de la república,2,Presidencia de la república,2019,"0,55"
43,Articulación y fortalecimiento de la respuesta del estado en materia de derechos humanos desde el sector presidencia,Intersubsectorial gobierno,"Desarrollo de la política intersectorial de prevención del reclutamiento, utilización, uso y violencia sexual de niños, niñas y adolescentes por parte de grupos armados al margen de a ley y grupos delictivos organizados   nacional",,2206274400,,2206274400.0,201,Inversión,Presidencia de la república,2,Presidencia de la república,2019,"2,21"
44,Gestión de espacios para fortalecer el desarrollo integral de la primera infancia desde el sector presidencia,Intersubsectorial gobierno,Fortalecimiento de la coordinación y articulación intersectorial para la sostenibilidad en la implementación de la política de estado para el desarrollo integral de la primera infancia a nivel   nacional,,4682480000,,4682480000.0,201,Inversión,Presidencia de la república,2,Presidencia de la república,2019,"4,68"
45,Consolidación de la lucha contra la corrupción desde el sector presidencia,Intersubsectorial gobierno,"Fortalecimiento de la institucionalidad, las herramientas y los mecanismos para la promoción y garantía de la transparencia, acceso a la información pública y lucha contra la corrupción a nivel  nacional",,2754400000,,2754400000.0,201,Inversión,Presidencia de la república,2,Presidencia de la república,2019,"2,75"
46,Gestión para impulsar el desarrollo integral de los y las jóvenes desde el sector presidencia,Intersubsectorial gobierno,Mejoramiento de las capacidades para la incidencia y gestión del sistema nacional de juventud a nivel  nacional,,2655033232,,2655033232.0,201,Inversión,Presidencia de la república,2,Presidencia de la república,2019,"2,66"
47,Fortalecimiento de las capacidades institucionales en transversalización del enfoque de género dentro de las entidades de los niveles nacional y territorial desde el sector presidencia,Intersubsectorial gobierno,Implementación de los enfoques de género e interseccionalidad en la gestión pública a nivel   nacional,,4489672000,,4489672000.0,201,Inversión,Presidencia de la república,2,Presidencia de la república,2019,"4,49"
48,Acción integral contra minas antipersonal como mecanismo de transición hacia la paz territorial desde el sector presidencia,Intersubsectorial gobierno,Consolidación de la acción integral contra minas antipersonal en el marco del posconflicto a nivel   nacional,,5518084381,,5518084381.0,201,Inversión,Presidencia de la república,2,Presidencia de la república,2019,"5,52"
49,Fortalecimiento de la gestión y dirección del sector presidencia,Intersubsectorial gobierno,"Fortalecimiento y protección de los bienes muebles e inmuebles de la presidencia de la república en  cartagena, bogotá, sopó",,10136192000,,10136192000.0,201,Inversión,Presidencia de la república,2,Presidencia de la república,2019,"10,14"
50,Fortalecimiento de la gestión y dirección del sector presidencia,Intersubsectorial gobierno,Mejoramiento en la organización técnica del archivo central del dapre a nivel  bogotá,,2950515533,,2950515533.0,201,Inversión,Presidencia de la república,2,Presidencia de la república,2019,"2,95"
51,Fortalecimiento de la gestión y dirección del sector presidencia,Intersubsectorial gobierno,"Fortalecimiento de la plataforma de tic del departamento administrativo de la presidencia de la república en las sedes de   bogotá, cartagena, sopó",,15837800000,,15837800000.0,201,Inversión,Presidencia de la república,2,Presidencia de la república,2019,"15,84"
52,Gastos de personal,Planta de personal permanente,Salario,,8932519200,,8932519200.0,209,Funcionamiento,"Agencia presidencial de cooperación internacional de colombia, apc - colombia",2,Presidencia de la república,2019,"8,93"
53,Gastos de personal,Planta de personal permanente,Contribuciones inherentes a la nómina,,3431982400,,3431982400.0,209,Funcionamiento,"Agencia presidencial de cooperación internacional de colombia, apc - colombia",2,Presidencia de la república,2019,"3,43"
54,Gastos de personal,Planta de personal permanente,Remuneraciones no constitutivas de factor salarial,,915838000,,915838000.0,209,Funcionamiento,"Agencia presidencial de cooperación internacional de colombia, apc - colombia",2,Presidencia de la república,2019,"0,92"
55,Adquisición de bienes  y servicios,Adquisiciones diferentes de activos,,,5266412800,,5266412800.0,209,Funcionamiento,"Agencia presidencial de cooperación internacional de colombia, apc - colombia",2,Presidencia de la república,2019,"5,27"
56,Transferencias corrientes,A gobiernos y organizaciones internacionales,A organizaciones internacionales,Fondo de cooperación y asistencia internacional  (ley 318 de 1996),20477586800,,20477586800.0,209,Funcionamiento,"Agencia presidencial de cooperación internacional de colombia, apc - colombia",2,Presidencia de la república,2019,"20,48"
57,"Gastos por tributos, multas, sanciones e intereses de mora",Impuestos,,,1377200,,1377200.0,209,Funcionamiento,"Agencia presidencial de cooperación internacional de colombia, apc - colombia",2,Presidencia de la república,2019,0
58,"Gastos por tributos, multas, sanciones e intereses de mora",Contribuciones,Cuota de fiscalización y auditaje,,107421600,,107421600.0,209,Funcionamiento,"Agencia presidencial de cooperación internacional de colombia, apc - colombia",2,Presidencia de la república,2019,"0,11"
59,Gestión de la cooperación internacional del sector presidencia,Intersubsectorial gobierno,"Fortalecimiento de la oferta académica internacional de colombia en el marco de la cooperación sur-sur,  nacional",,1822843672,,1822843672.0,209,Inversión,"Agencia presidencial de cooperación internacional de colombia, apc - colombia",2,Presidencia de la república,2019,"1,82"
60,Gestión de la cooperación internacional del sector presidencia,Intersubsectorial gobierno,Implementación de proyectos de cooperación internacional no reembolsable con aporte de recursos de contrapartida  nacional,,3645687347,,3645687347.0,209,Inversión,"Agencia presidencial de cooperación internacional de colombia, apc - colombia",2,Presidencia de la república,2019,"3,65"
61,Gestión de la cooperación internacional del sector presidencia,Intersubsectorial gobierno,Distribución de recursos de cooperación internacional no reembolsable a entidades del orden  nacional - distribución previo concepto dnp,,,41510185200,41510185200.0,209,Inversión,"Agencia presidencial de cooperación internacional de colombia, apc - colombia",2,Presidencia de la república,2019,"41,51"
62,Gestión de la cooperación internacional del sector presidencia,Intersubsectorial gobierno,"Administración , ejecución y seguimiento de recursos de cooperación internacional a nivel  nacional",,,83859085200,83859085200.0,209,Inversión,"Agencia presidencial de cooperación internacional de colombia, apc - colombia",2,Presidencia de la república,2019,"83,86"
63,Gestión de la cooperación internacional del sector presidencia,Intersubsectorial gobierno,Fortalecimiento de las capacidades tecnológicas de la información en apc-colombia   nacional,,1041624956,,1041624956.0,209,Inversión,"Agencia presidencial de cooperación internacional de colombia, apc - colombia",2,Presidencia de la república,2019,"1,04"
64,Gastos de personal,Planta de personal permanente,Salario,,8823720400,,8823720400.0,211,Funcionamiento,Unidad nacional para la gestión del riesgo de desastres,2,Presidencia de la república,2019,"8,82"
65,Gastos de personal,Planta de personal permanente,Contribuciones inherentes a la nómina,,3043612000,,3043612000.0,211,Funcionamiento,Unidad nacional para la gestión del riesgo de desastres,2,Presidencia de la república,2019,"3,04"
66,Gastos de personal,Planta de personal permanente,Remuneraciones no constitutivas de factor salarial,,422800400,,422800400.0,211,Funcionamiento,Unidad nacional para la gestión del riesgo de desastres,2,Presidencia de la república,2019,"0,42"
67,Adquisición de bienes  y servicios,Adquisición de activos no financieros,,,532976400,,532976400.0,211,Funcionamiento,Unidad nacional para la gestión del riesgo de desastres,2,Presidencia de la república,2019,"0,53"
68,Adquisición de bienes  y servicios,Adquisiciones diferentes de activos,,,4360215200,,4360215200.0,211,Funcionamiento,Unidad nacional para la gestión del riesgo de desastres,2,Presidencia de la república,2019,"4,36"
69,Transferencias corrientes,A entidades del gobierno,A órganos del pgn,Otras transferencias - distribución previo concepto dgppn,1800000400,,1800000400.0,211,Funcionamiento,Unidad nacional para la gestión del riesgo de desastres,2,Presidencia de la república,2019,"1,8"
70,Transferencias corrientes,A entidades del gobierno,A otras entidades del gobierno general,Atencion de desastres y emergencias en el territorio nacional -fondo nacional de gestion del riego de desastres,57980120000,,57980120000.0,211,Funcionamiento,Unidad nacional para la gestión del riesgo de desastres,2,Presidencia de la república,2019,"57,98"
71,Transferencias corrientes,Sentencias y conciliaciones,Fallos nacionales,Sentencias,181790400,,181790400.0,211,Funcionamiento,Unidad nacional para la gestión del riesgo de desastres,2,Presidencia de la república,2019,"0,18"
72,Transferencias corrientes,Sentencias y conciliaciones,Fallos nacionales,Conciliaciones,181790400,,181790400.0,211,Funcionamiento,Unidad nacional para la gestión del riesgo de desastres,2,Presidencia de la república,2019,"0,18"
73,"Gastos por tributos, multas, sanciones e intereses de mora",Impuestos,,,9640400,,9640400.0,211,Funcionamiento,Unidad nacional para la gestión del riesgo de desastres,2,Presidencia de la república,2019,"0,01"
74,"Gastos por tributos, multas, sanciones e intereses de mora",Contribuciones,Cuota de fiscalización y auditaje,,232746800,,232746800.0,211,Funcionamiento,Unidad nacional para la gestión del riesgo de desastres,2,Presidencia de la república,2019,"0,23"
75,Prevención y mitigación del riesgo de desastres desde el sector presidencia,Intersubsectorial gobierno,"Fortalecimiento  de la reducción del riesgo de desastres en el marco de la ley 1523 de 2012, por fenómeno de erosión costera en la ciudad de  cartagena",,68860000000,,68860000000.0,211,Inversión,Unidad nacional para la gestión del riesgo de desastres,2,Presidencia de la república,2019,"68,86"
76,Prevención y mitigación del riesgo de desastres desde el sector presidencia,Intersubsectorial gobierno,"Fortalecimiento de la gestión del riesgo de desastres en la  zona de amenaza volcánica alta-zava del volcán galeras  pasto, nariño, la florida",,28778567002,,28778567002.0,211,Inversión,Unidad nacional para la gestión del riesgo de desastres,2,Presidencia de la república,2019,"28,78"
77,Gastos de personal,Planta de personal permanente,Salario,,33194654354,,33194654354.0,212,Funcionamiento,Agencia para la reincorporación y la normalización - arn,2,Presidencia de la república,2019,"33,19"
78,Gastos de personal,Planta de personal permanente,Contribuciones inherentes a la nómina,,11722207196,,11722207196.0,212,Funcionamiento,Agencia para la reincorporación y la normalización - arn,2,Presidencia de la república,2019,"11,72"
79,Gastos de personal,Planta de personal permanente,Remuneraciones no constitutivas de factor salarial,,1149900026,,1149900026.0,212,Funcionamiento,Agencia para la reincorporación y la normalización - arn,2,Presidencia de la república,2019,"1,15"
80,Adquisición de bienes  y servicios,Adquisiciones diferentes de activos,,,10764307146,,10764307146.0,212,Funcionamiento,Agencia para la reincorporación y la normalización - arn,2,Presidencia de la república,2019,"10,76"
81,Transferencias corrientes,A entidades del gobierno,A órganos del pgn,Fondo de programas especiales para la paz: programa de reintegracion social y economica,133259946476,,133259946476.0,212,Funcionamiento,Agencia para la reincorporación y la normalización - arn,2,Presidencia de la república,2019,"133,26"
82,"Gastos por tributos, multas, sanciones e intereses de mora",Impuestos,,,"437949,6",,437949.6,212,Funcionamiento,Agencia para la reincorporación y la normalización - arn,2,Presidencia de la república,2019,0
83,"Gastos por tributos, multas, sanciones e intereses de mora",Contribuciones,Cuota de fiscalización y auditaje,,"330202980,8",,330202980.8,212,Funcionamiento,Agencia para la reincorporación y la normalización - arn,2,Presidencia de la república,2019,"0,33"
84,Reintegración de personas y grupos alzados en armas desde el sector presidencia,Intersubsectorial gobierno,"Servicio en generación de espacios de convivencia, reconciliación, reintegración y fortalecimiento de entornos protectores de los nnaj.   nacional",,"655588447,1",,655588447.1,212,Inversión,Agencia para la reincorporación y la normalización - arn,2,Presidencia de la república,2019,"0,66"
85,Reintegración de personas y grupos alzados en armas desde el sector presidencia,Intersubsectorial gobierno,Prevención riesgos de victimización y reincidencia en población en proceso de reintegración y en reincorporación  nacional,,702685302,,702685302.0,212,Inversión,Agencia para la reincorporación y la normalización - arn,2,Presidencia de la república,2019,"0,7"
86,Reintegración de personas y grupos alzados en armas desde el sector presidencia,Intersubsectorial gobierno,Fortalecimiento de la reincorporación de los exintegrantes de las farc-ep  nacional,,"465841005,6",,465841005.6,212,Inversión,Agencia para la reincorporación y la normalización - arn,2,Presidencia de la república,2019,"0,47"
87,Gastos de personal,Planta de personal permanente,Salario,,2934967798,,2934967798.0,213,Funcionamiento,Agencia nacional inmobiliaria virgilio barco vargas,2,Presidencia de la república,2019,"2,93"
88,Gastos de personal,Planta de personal permanente,Contribuciones inherentes a la nómina,,1244781807,,1244781807.0,213,Funcionamiento,Agencia nacional inmobiliaria virgilio barco vargas,2,Presidencia de la república,2019,"1,24"
89,Gastos de personal,Planta de personal permanente,Remuneraciones no constitutivas de factor salarial,,"949068596,5",,949068596.5,213,Funcionamiento,Agencia nacional inmobiliaria virgilio barco vargas,2,Presidencia de la república,2019,"0,95"
90,Adquisición de bienes  y servicios,Adquisición de activos no financieros,,,3443000,,3443000.0,213,Funcionamiento,Agencia nacional inmobiliaria virgilio barco vargas,2,Presidencia de la república,2019,0
91,Adquisición de bienes  y servicios,Adquisiciones diferentes de activos,,,1385597725,116511120,1502108845.0,213,Funcionamiento,Agencia nacional inmobiliaria virgilio barco vargas,2,Presidencia de la república,2019,"1,5"
92,Transferencias corrientes,Prestaciones sociales,Prestaciones sociales relacionadas con el empleo,Incapacidades y licencias de maternidad (no de pensiones),13772000,,13772000.0,213,Funcionamiento,Agencia nacional inmobiliaria virgilio barco vargas,2,Presidencia de la república,2019,"0,01"
93,"Gastos por tributos, multas, sanciones e intereses de mora",Impuestos,,,"76591352,9",,76591352.9,213,Funcionamiento,Agencia nacional inmobiliaria virgilio barco vargas,2,Presidencia de la república,2019,"0,08"
94,"Gastos por tributos, multas, sanciones e intereses de mora",Contribuciones,Cuota de fiscalización y auditaje,,117736828,,117736828.0,213,Funcionamiento,Agencia nacional inmobiliaria virgilio barco vargas,2,Presidencia de la república,2019,"0,12"
95,Fortalecimiento de la infraestructura física de las entidades del estado del nivel nacional desde el sector presidencia,Intersubsectorial gobierno,Renovación urbana ciudad can  bogotá,,4657189803,,4657189803.0,213,Inversión,Agencia nacional inmobiliaria virgilio barco vargas,2,Presidencia de la república,2019,"4,66"
96,Fortalecimiento de la infraestructura física de las entidades del estado del nivel nacional desde el sector presidencia,Intersubsectorial gobierno,Desarrollo y formulación de proyectos estratégicos de renovación y desarrollo urbano en municipios y distritos de colombia  nacional,,3530264197,,3530264197.0,213,Inversión,Agencia nacional inmobiliaria virgilio barco vargas,2,Presidencia de la república,2019,"3,53"
97,Gastos de personal,Planta de personal permanente,Salario,,30352110800,,30352110800.0,301,Funcionamiento,Departamento administrativo nacional de planeación,3,Planeación,2019,"30,35"
98,Gastos de personal,Planta de personal permanente,Contribuciones inherentes a la nómina,,10890897600,,10890897600.0,301,Funcionamiento,Departamento administrativo nacional de planeación,3,Planeación,2019,"10,89"
99,Gastos de personal,Planta de personal permanente,Remuneraciones no constitutivas de factor salarial,,6756543200,,6756543200.0,301,Funcionamiento,Departamento administrativo nacional de planeación,3,Planeación,2019,"6,76"
100,Adquisición de bienes  y servicios,Adquisición de activos no financieros,,,437949600,,437949600.0,301,Funcionamiento,Departamento administrativo nacional de planeación,3,Planeación,2019,"0,44"
101,Adquisición de bienes  y servicios,Adquisiciones diferentes de activos,,,42678514916,,42678514916.0,301,Funcionamiento,Departamento administrativo nacional de planeación,3,Planeación,2019,"42,68"
102,Transferencias corrientes,Prestaciones sociales,Prestaciones sociales relacionadas con el empleo,Mesadas pensionales (de pensiones),1308340000,,1308340000.0,301,Funcionamiento,Departamento administrativo nacional de planeación,3,Planeación,2019,"1,31"
103,Transferencias corrientes,Prestaciones sociales,Prestaciones sociales relacionadas con el empleo,Cuotas partes pensionales (de pensiones),753328400,,753328400.0,301,Funcionamiento,Departamento administrativo nacional de planeación,3,Planeación,2019,"0,75"
104,Transferencias corrientes,Prestaciones sociales,Prestaciones sociales relacionadas con el empleo,Bonos pensionales (de pensiones),537108000,,537108000.0,301,Funcionamiento,Departamento administrativo nacional de planeación,3,Planeación,2019,"0,54"
105,Transferencias corrientes,Prestaciones sociales,Prestaciones sociales relacionadas con el empleo,Incapacidades y licencias de maternidad (no de pensiones),238668760,,238668760.0,301,Funcionamiento,Departamento administrativo nacional de planeación,3,Planeación,2019,"0,24"
106,Transferencias corrientes,Sentencias y conciliaciones,Fallos nacionales,Conciliaciones,1444682800,,1444682800.0,301,Funcionamiento,Departamento administrativo nacional de planeación,3,Planeación,2019,"1,44"
107,"Gastos por tributos, multas, sanciones e intereses de mora",Impuestos,,,81254800,,81254800.0,301,Funcionamiento,Departamento administrativo nacional de planeación,3,Planeación,2019,"0,08"
108,"Gastos por tributos, multas, sanciones e intereses de mora",Contribuciones,Cuota de fiscalización y auditaje,,1013619200,,1013619200.0,301,Funcionamiento,Departamento administrativo nacional de planeación,3,Planeación,2019,"1,01"
109,"Mejoramiento de la planeación territorial, sectorial y de inversión pública",Intersubsectorial gobierno,Servicio de pago de las obligaciones pendientes de los proyectos aprobados por el consejo asesor de regalías   nacional,,27928661445,,27928661445.0,301,Inversión,Departamento administrativo nacional de planeación,3,Planeación,2019,"27,93"
110,"Mejoramiento de la planeación territorial, sectorial y de inversión pública",Intersubsectorial gobierno,"Apoyo capacidades institucionales para la construcción de paz y el análisis, gestión y transformación de conflictos   nacional",,1027391200,,1027391200.0,301,Inversión,Departamento administrativo nacional de planeación,3,Planeación,2019,"1,03"
111,"Mejoramiento de la planeación territorial, sectorial y de inversión pública",Intersubsectorial gobierno,"Diseño  y articulación de los instrumentos, estrategias, lineamientos y demás requerimientos técnicos para el desarrollo de la política pública de protección social   a nivel  nacional",,40731391968,,40731391968.0,301,Inversión,Departamento administrativo nacional de planeación,3,Planeación,2019,"40,73"
112,"Mejoramiento de la planeación territorial, sectorial y de inversión pública",Intersubsectorial gobierno,Fortalecimiento de los mecanismos técnicos y regulatorios que promuevan la vinculación del sector privado en infraestructura productiva y social  nacional,,13913851600,,13913851600.0,301,Inversión,Departamento administrativo nacional de planeación,3,Planeación,2019,"13,91"
113,"Mejoramiento de la planeación territorial, sectorial y de inversión pública",Intersubsectorial gobierno,"Fortalecimiento del sistema de inversión pública en colombia, alcance  nacional",,5091064933,,5091064933.0,301,Inversión,Departamento administrativo nacional de planeación,3,Planeación,2019,"5,09"
114,"Mejoramiento de la planeación territorial, sectorial y de inversión pública",Intersubsectorial gobierno,Apoyo al desarrollo de proyectos a través del fondo regional para los contratos plan.  nacional,,102418678302,,102418678302.0,301,Inversión,Departamento administrativo nacional de planeación,3,Planeación,2019,"102,42"
115,"Mejoramiento de la planeación territorial, sectorial y de inversión pública",Intersubsectorial gobierno,Apoyo técnico para la implementación de las estrategias de la política logística  nacional,,5228612104,,5228612104.0,301,Inversión,Departamento administrativo nacional de planeación,3,Planeación,2019,"5,23"
116,"Mejoramiento de la planeación territorial, sectorial y de inversión pública",Intersubsectorial gobierno,Fortalecimiento de las entidades territoriales   nacional,,24101000000,,24101000000.0,301,Inversión,Departamento administrativo nacional de planeación,3,Planeación,2019,"24,1"
117,"Mejoramiento de la planeación territorial, sectorial y de inversión pública",Intersubsectorial gobierno,Mejoramiento de la articulación entre nación - territorio para el desarrollo territorial y la gestión de políticas públicas  nacional,,23300846800,,23300846800.0,301,Inversión,Departamento administrativo nacional de planeación,3,Planeación,2019,"23,3"
