Cuenta,Subcuenta,Objeto/proyecto,Subproyecto,Apropiación en precios corrientes,Código de entidad,Tipo de gasto,Entidad,Código de sector,Sector,Año,Apropiación en precios constantes (2025)
"Gastos por tributos, multas, sanciones e intereses de mora",Contribuciones,Contribución nacional de valorización,,36999999.99999954,201,Funcionamiento,Presidencia de la república,2,Presidencia de la república,2019,54013783.99999933
Articulación y fortalecimiento de la respuesta del estado en materia de derechos humanos desde el sector presidencia,Intersubsectorial gobierno,"Diseño e implementación del sistema nacional de información para el seguimiento, monitoreo y evaluación de la política pública integral en derechos humanos  nacional",,849655384.8387927,201,Inversión,Presidencia de la república,2,Presidencia de la república,2019,1240354119.7599845
Articulación y fortalecimiento de la respuesta del estado en materia de derechos humanos desde el sector presidencia,Intersubsectorial gobierno,"Fortalecimiento de las entidades del estado que conforman el sistema nacional de derechos humanos y dih para diseñar, implementar y evaluar la política integral en la materia, y construir una cultura de derechos humanos y dih.  nacional",,399999999.999995,201,Inversión,Presidencia de la república,2,Presidencia de la república,2019,583932799.9999927
Articulación y fortalecimiento de la respuesta del estado en materia de derechos humanos desde el sector presidencia,Intersubsectorial gobierno,"Desarrollo de la política intersectorial de prevención del reclutamiento, utilización, uso y violencia sexual de niños, niñas y adolescentes por parte de grupos armados al margen de a ley y grupos delictivos organizados   nacional",,1601999999.99998,201,Inversión,Presidencia de la república,2,Presidencia de la república,2019,2338650863.999971
Gestión de espacios para fortalecer el desarrollo integral de la primera infancia desde el sector presidencia,Intersubsectorial gobierno,Fortalecimiento de la coordinación y articulación intersectorial para la sostenibilidad en la implementación de la política de estado para el desarrollo integral de la primera infancia a nivel   nacional,,3399999999.9999576,201,Inversión,Presidencia de la república,2,Presidencia de la república,2019,4963428799.999938
Consolidación de la lucha contra la corrupción desde el sector presidencia,Intersubsectorial gobierno,"Fortalecimiento de la institucionalidad, las herramientas y los mecanismos para la promoción y garantía de la transparencia, acceso a la información pública y lucha contra la corrupción a nivel  nacional",,1999999999.999975,201,Inversión,Presidencia de la república,2,Presidencia de la república,2019,2919663999.9999638
Gestión para impulsar el desarrollo integral de los y las jóvenes desde el sector presidencia,Intersubsectorial gobierno,Mejoramiento de las capacidades para la incidencia y gestión del sistema nacional de juventud a nivel  nacional,,1927848701.7135978,201,Inversión,Presidencia de la república,2,Presidencia de la república,2019,2814335225.919965
Fortalecimiento de las capacidades institucionales en transversalización del enfoque de género dentro de las entidades de los niveles nacional y territorial desde el sector presidencia,Intersubsectorial gobierno,Implementación de los enfoques de género e interseccionalidad en la gestión pública a nivel   nacional,,3259999999.999959,201,Inversión,Presidencia de la república,2,Presidencia de la república,2019,4759052319.99994
Acción integral contra minas antipersonal como mecanismo de transición hacia la paz territorial desde el sector presidencia,Intersubsectorial gobierno,Consolidación de la acción integral contra minas antipersonal en el marco del posconflicto a nivel   nacional,,4006741490.7057295,201,Inversión,Presidencia de la república,2,Presidencia de la república,2019,5849169443.859926
Fortalecimiento de la gestión y dirección del sector presidencia,Intersubsectorial gobierno,"Fortalecimiento y protección de los bienes muebles e inmuebles de la presidencia de la república en  cartagena, bogotá, sopó",,7359999999.9999075,201,Inversión,Presidencia de la república,2,Presidencia de la república,2019,10744363519.999865
Fortalecimiento de la gestión y dirección del sector presidencia,Intersubsectorial gobierno,Mejoramiento en la organización técnica del archivo central del dapre a nivel  bogotá,,2142401635.927943,201,Inversión,Presidencia de la república,2,Presidencia de la república,2019,3127546464.979961
Fortalecimiento de la gestión y dirección del sector presidencia,Intersubsectorial gobierno,"Fortalecimiento de la plataforma de tic del departamento administrativo de la presidencia de la república en las sedes de   bogotá, cartagena, sopó",,11499999999.999857,201,Inversión,Presidencia de la república,2,Presidencia de la república,2019,16788067999.999792
Gastos de personal,Planta de personal permanente,Salario,,6485999999.999919,209,Funcionamiento,"Agencia presidencial de cooperación internacional de colombia, apc - colombia",2,Presidencia de la república,2019,9468470351.999882
Gastos de personal,Planta de personal permanente,Contribuciones inherentes a la nómina,,2491999999.999969,209,Funcionamiento,"Agencia presidencial de cooperación internacional de colombia, apc - colombia",2,Presidencia de la república,2019,3637901343.9999547
Gastos de personal,Planta de personal permanente,Remuneraciones no constitutivas de factor salarial,,664999999.9999917,209,Funcionamiento,"Agencia presidencial de cooperación internacional de colombia, apc - colombia",2,Presidencia de la república,2019,970788279.9999878
Adquisición de bienes  y servicios,Adquisiciones diferentes de activos,,,3823999999.9999523,209,Funcionamiento,"Agencia presidencial de cooperación internacional de colombia, apc - colombia",2,Presidencia de la república,2019,5582397567.99993
Transferencias corrientes,A gobiernos y organizaciones internacionales,A organizaciones internacionales,Fondo de cooperación y asistencia internacional  (ley 318 de 1996),14868999999.999813,209,Funcionamiento,"Agencia presidencial de cooperación internacional de colombia, apc - colombia",2,Presidencia de la república,2019,21706242007.99973
"Gastos por tributos, multas, sanciones e intereses de mora",Impuestos,,,999999.9999999874,209,Funcionamiento,"Agencia presidencial de cooperación internacional de colombia, apc - colombia",2,Presidencia de la república,2019,1459831.9999999816
"Gastos por tributos, multas, sanciones e intereses de mora",Contribuciones,Cuota de fiscalización y auditaje,,77999999.99999902,209,Funcionamiento,"Agencia presidencial de cooperación internacional de colombia, apc - colombia",2,Presidencia de la república,2019,113866895.99999857
Gestión de la cooperación internacional del sector presidencia,Intersubsectorial gobierno,"Fortalecimiento de la oferta académica internacional de colombia en el marco de la cooperación sur-sur,  nacional",,1323586749.9273725,209,Inversión,"Agencia presidencial de cooperación internacional de colombia, apc - colombia",2,Presidencia de la república,2019,1932214292.319976
Gestión de la cooperación internacional del sector presidencia,Intersubsectorial gobierno,Implementación de proyectos de cooperación internacional no reembolsable con aporte de recursos de contrapartida  nacional,,2647173502.0330777,209,Inversión,"Agencia presidencial de cooperación internacional de colombia, apc - colombia",2,Presidencia de la república,2019,3864428587.819952
Gestión de la cooperación internacional del sector presidencia,Intersubsectorial gobierno,Distribución de recursos de cooperación internacional no reembolsable a entidades del orden  nacional - distribución previo concepto dnp,,30140999999.999622,209,Inversión,"Agencia presidencial de cooperación internacional de colombia, apc - colombia",2,Presidencia de la república,2019,44000796311.99945
Gestión de la cooperación internacional del sector presidencia,Intersubsectorial gobierno,"Administración , ejecución y seguimiento de recursos de cooperación internacional a nivel  nacional",,60890999999.99924,209,Inversión,"Agencia presidencial de cooperación internacional de colombia, apc - colombia",2,Presidencia de la república,2019,88890630311.99889
Gestión de la cooperación internacional del sector presidencia,Intersubsectorial gobierno,Fortalecimiento de las capacidades tecnológicas de la información en apc-colombia   nacional,,756335286.0877048,209,Inversión,"Agencia presidencial de cooperación internacional de colombia, apc - colombia",2,Presidencia de la república,2019,1104122453.3599863
Gastos de personal,Planta de personal permanente,Salario,,6406999999.99992,211,Funcionamiento,Unidad nacional para la gestión del riesgo de desastres,2,Presidencia de la república,2019,9353143623.999884
Gastos de personal,Planta de personal permanente,Contribuciones inherentes a la nómina,,2209999999.9999723,211,Funcionamiento,Unidad nacional para la gestión del riesgo de desastres,2,Presidencia de la república,2019,3226228719.99996
Gastos de personal,Planta de personal permanente,Remuneraciones no constitutivas de factor salarial,,306999999.9999962,211,Funcionamiento,Unidad nacional para la gestión del riesgo de desastres,2,Presidencia de la república,2019,448168423.99999446
Adquisición de bienes  y servicios,Adquisición de activos no financieros,,,386999999.9999952,211,Funcionamiento,Unidad nacional para la gestión del riesgo de desastres,2,Presidencia de la república,2019,564954983.999993
Adquisición de bienes  y servicios,Adquisiciones diferentes de activos,,,3165999999.9999604,211,Funcionamiento,Unidad nacional para la gestión del riesgo de desastres,2,Presidencia de la república,2019,4621828111.999943
Transferencias corrientes,A entidades del gobierno,A órganos del pgn,Otras transferencias - distribución previo concepto dgppn,1306999999.9999835,211,Funcionamiento,Unidad nacional para la gestión del riesgo de desastres,2,Presidencia de la república,2019,1908000423.9999762
Transferencias corrientes,A entidades del gobierno,A otras entidades del gobierno general,Atencion de desastres y emergencias en el territorio nacional -fondo nacional de gestion del riego de desastres,42099999999.99947,211,Funcionamiento,Unidad nacional para la gestión del riesgo de desastres,2,Presidencia de la república,2019,61458927199.99924
Transferencias corrientes,Sentencias y conciliaciones,Fallos nacionales,Sentencias,131999999.99999835,211,Funcionamiento,Unidad nacional para la gestión del riesgo de desastres,2,Presidencia de la república,2019,192697823.9999976
Transferencias corrientes,Sentencias y conciliaciones,Fallos nacionales,Conciliaciones,131999999.99999835,211,Funcionamiento,Unidad nacional para la gestión del riesgo de desastres,2,Presidencia de la república,2019,192697823.9999976
"Gastos por tributos, multas, sanciones e intereses de mora",Impuestos,,,6999999.999999912,211,Funcionamiento,Unidad nacional para la gestión del riesgo de desastres,2,Presidencia de la república,2019,10218823.999999873
"Gastos por tributos, multas, sanciones e intereses de mora",Contribuciones,Cuota de fiscalización y auditaje,,168999999.99999788,211,Funcionamiento,Unidad nacional para la gestión del riesgo de desastres,2,Presidencia de la república,2019,246711607.99999693
Prevención y mitigación del riesgo de desastres desde el sector presidencia,Intersubsectorial gobierno,"Fortalecimiento  de la reducción del riesgo de desastres en el marco de la ley 1523 de 2012, por fenómeno de erosión costera en la ciudad de  cartagena",,49999999999.999374,211,Inversión,Unidad nacional para la gestión del riesgo de desastres,2,Presidencia de la república,2019,72991599999.99908
Prevención y mitigación del riesgo de desastres desde el sector presidencia,Intersubsectorial gobierno,"Fortalecimiento de la gestión del riesgo de desastres en la  zona de amenaza volcánica alta-zava del volcán galeras  pasto, nariño, la florida",,20896432618.355824,211,Inversión,Unidad nacional para la gestión del riesgo de desastres,2,Presidencia de la república,2019,30505281022.11962
Gastos de personal,Planta de personal permanente,Salario,,24103001999.709255,212,Funcionamiento,Agencia para la reincorporación y la normalización - arn,2,Presidencia de la república,2019,35186333615.23956
Gastos de personal,Planta de personal permanente,Contribuciones inherentes a la nómina,,8511623000.290338,212,Funcionamiento,Agencia para la reincorporación y la normalización - arn,2,Presidencia de la república,2019,12425539627.759844
Gastos de personal,Planta de personal permanente,Remuneraciones no constitutivas de factor salarial,,834954999.9999895,212,Funcionamiento,Agencia para la reincorporación y la normalización - arn,2,Presidencia de la república,2019,1218894027.5599847
Adquisición de bienes  y servicios,Adquisiciones diferentes de activos,,,7816081285.216283,212,Funcionamiento,Agencia para la reincorporación y la normalización - arn,2,Presidencia de la república,2019,11410165574.759857
Transferencias corrientes,A entidades del gobierno,A órganos del pgn,Fondo de programas especiales para la paz: programa de reintegracion social y economica,96761506299.7374,212,Funcionamiento,Agencia para la reincorporación y la normalización - arn,2,Presidencia de la república,2019,141255543264.55826
"Gastos por tributos, multas, sanciones e intereses de mora",Impuestos,,,317999.999999996,212,Funcionamiento,Agencia para la reincorporación y la normalización - arn,2,Presidencia de la república,2019,464226.5759999942
"Gastos por tributos, multas, sanciones e intereses de mora",Contribuciones,Cuota de fiscalización y auditaje,,239763999.99999702,212,Funcionamiento,Agencia para la reincorporación y la normalización - arn,2,Presidencia de la república,2019,350015159.64799565
Reintegración de personas y grupos alzados en armas desde el sector presidencia,Intersubsectorial gobierno,"Servicio en generación de espacios de convivencia, reconciliación, reintegración y fortalecimiento de entornos protectores de los nnaj.   nacional",,476029949.97094965,212,Inversión,Agencia para la reincorporación y la normalización - arn,2,Presidencia de la república,2019,694923753.9259914
Reintegración de personas y grupos alzados en armas desde el sector presidencia,Intersubsectorial gobierno,Prevención riesgos de victimización y reincidencia en población en proceso de reintegración y en reincorporación  nacional,,510227492.01277316,212,Inversión,Agencia para la reincorporación y la normalización - arn,2,Presidencia de la república,2019,744846420.1199907
Reintegración de personas y grupos alzados en armas desde el sector presidencia,Intersubsectorial gobierno,Fortalecimiento de la reincorporación de los exintegrantes de las farc-ep  nacional,,338252255.01016134,212,Inversión,Agencia para la reincorporación y la normalización - arn,2,Presidencia de la república,2019,493791465.93599385
Gastos de personal,Planta de personal permanente,Salario,,2131112255.3005834,213,Funcionamiento,Agencia nacional inmobiliaria virgilio barco vargas,2,Presidencia de la república,2019,3111065865.8799615
Gastos de personal,Planta de personal permanente,Contribuciones inherentes a la nómina,,903849700.1161665,213,Funcionamiento,Agencia nacional inmobiliaria virgilio barco vargas,2,Presidencia de la república,2019,1319468715.4199836
Gastos de personal,Planta de personal permanente,Remuneraciones no constitutivas de factor salarial,,689129099.9854691,213,Funcionamiento,Agencia nacional inmobiliaria virgilio barco vargas,2,Presidencia de la república,2019,1006012712.2899873
Adquisición de bienes  y servicios,Adquisición de activos no financieros,,,2499999.999999969,213,Funcionamiento,Agencia nacional inmobiliaria virgilio barco vargas,2,Presidencia de la república,2019,3649579.9999999544
Adquisición de bienes  y servicios,Adquisiciones diferentes de activos,,,1090697680.075502,213,Funcionamiento,Agencia nacional inmobiliaria virgilio barco vargas,2,Presidencia de la república,2019,1592235375.6999803
Transferencias corrientes,Prestaciones sociales,Prestaciones sociales relacionadas con el empleo,Incapacidades y licencias de maternidad (no de pensiones),9999999.999999875,213,Funcionamiento,Agencia nacional inmobiliaria virgilio barco vargas,2,Presidencia de la república,2019,14598319.999999817
"Gastos por tributos, multas, sanciones e intereses de mora",Impuestos,,,55613819.99709486,213,Funcionamiento,Agencia nacional inmobiliaria virgilio barco vargas,2,Presidencia de la república,2019,81186834.07399899
"Gastos por tributos, multas, sanciones e intereses de mora",Contribuciones,Cuota de fiscalización y auditaje,,85489999.99999893,213,Funcionamiento,Agencia nacional inmobiliaria virgilio barco vargas,2,Presidencia de la república,2019,124801037.67999844
Fortalecimiento de la infraestructura física de las entidades del estado del nivel nacional desde el sector presidencia,Intersubsectorial gobierno,Renovación urbana ciudad can  bogotá,,3381636511.0368443,213,Inversión,Agencia nacional inmobiliaria virgilio barco vargas,2,Presidencia de la república,2019,4936621191.179938
Fortalecimiento de la infraestructura física de las entidades del estado del nivel nacional desde el sector presidencia,Intersubsectorial gobierno,Desarrollo y formulación de proyectos estratégicos de renovación y desarrollo urbano en municipios y distritos de colombia  nacional,,2563363488.9630814,213,Inversión,Agencia nacional inmobiliaria virgilio barco vargas,2,Presidencia de la república,2019,3742080048.819953
Gastos de personal,Planta de personal permanente,Salario,,22038999999.999725,301,Funcionamiento,Departamento administrativo nacional de planeación,3,Planeación,2019,32173237447.9996
Gastos de personal,Planta de personal permanente,Contribuciones inherentes a la nómina,,7907999999.999901,301,Funcionamiento,Departamento administrativo nacional de planeación,3,Planeación,2019,11544351455.999855
Gastos de personal,Planta de personal permanente,Remuneraciones no constitutivas de factor salarial,,4905999999.999939,301,Funcionamiento,Departamento administrativo nacional de planeación,3,Planeación,2019,7161935791.999911
Adquisición de bienes  y servicios,Adquisición de activos no financieros,,,317999999.999996,301,Funcionamiento,Departamento administrativo nacional de planeación,3,Planeación,2019,464226575.99999416
Adquisición de bienes  y servicios,Adquisiciones diferentes de activos,,,30989336999.709167,301,Funcionamiento,Departamento administrativo nacional de planeación,3,Planeación,2019,45239225810.959435
Transferencias corrientes,Prestaciones sociales,Prestaciones sociales relacionadas con el empleo,Mesadas pensionales (de pensiones),949999999.9999881,301,Funcionamiento,Departamento administrativo nacional de planeación,3,Planeación,2019,1386840399.9999826
Transferencias corrientes,Prestaciones sociales,Prestaciones sociales relacionadas con el empleo,Cuotas partes pensionales (de pensiones),546999999.9999932,301,Funcionamiento,Departamento administrativo nacional de planeación,3,Planeación,2019,798528103.9999901
Transferencias corrientes,Prestaciones sociales,Prestaciones sociales relacionadas con el empleo,Bonos pensionales (de pensiones),389999999.9999951,301,Funcionamiento,Departamento administrativo nacional de planeación,3,Planeación,2019,569334479.9999928
Transferencias corrientes,Prestaciones sociales,Prestaciones sociales relacionadas con el empleo,Incapacidades y licencias de maternidad (no de pensiones),173299999.99999782,301,Funcionamiento,Departamento administrativo nacional de planeación,3,Planeación,2019,252988885.59999683
Transferencias corrientes,Sentencias y conciliaciones,Fallos nacionales,Conciliaciones,1048999999.9999869,301,Funcionamiento,Departamento administrativo nacional de planeación,3,Planeación,2019,1531363767.999981
"Gastos por tributos, multas, sanciones e intereses de mora",Impuestos,,,58999999.99999926,301,Funcionamiento,Departamento administrativo nacional de planeación,3,Planeación,2019,86130087.99999893
"Gastos por tributos, multas, sanciones e intereses de mora",Contribuciones,Cuota de fiscalización y auditaje,,735999999.9999908,301,Funcionamiento,Departamento administrativo nacional de planeación,3,Planeación,2019,1074436351.9999866
"Mejoramiento de la planeación territorial, sectorial y de inversión pública",Intersubsectorial gobierno,Servicio de pago de las obligaciones pendientes de los proyectos aprobados por el consejo asesor de regalías   nacional,,20279306887.162106,301,Inversión,Departamento administrativo nacional de planeación,3,Planeación,2019,29604381131.69963
"Mejoramiento de la planeación territorial, sectorial y de inversión pública",Intersubsectorial gobierno,"Apoyo capacidades institucionales para la construcción de paz y el análisis, gestión y transformación de conflictos   nacional",,745999999.9999907,301,Inversión,Departamento administrativo nacional de planeación,3,Planeación,2019,1089034671.9999864
"Mejoramiento de la planeación territorial, sectorial y de inversión pública",Intersubsectorial gobierno,"Diseño  y articulación de los instrumentos, estrategias, lineamientos y demás requerimientos técnicos para el desarrollo de la política pública de protección social   a nivel  nacional",,29575509706.650806,301,Inversión,Departamento administrativo nacional de planeación,3,Planeación,2019,43175275486.07946
"Mejoramiento de la planeación territorial, sectorial y de inversión pública",Intersubsectorial gobierno,Fortalecimiento de los mecanismos técnicos y regulatorios que promuevan la vinculación del sector privado en infraestructura productiva y social  nacional,,10102999999.999874,301,Inversión,Departamento administrativo nacional de planeación,3,Planeación,2019,14748682695.999817
"Mejoramiento de la planeación territorial, sectorial y de inversión pública",Intersubsectorial gobierno,"Fortalecimiento del sistema de inversión pública en colombia, alcance  nacional",,3696677993.7553997,301,Inversión,Departamento administrativo nacional de planeación,3,Planeación,2019,5396528828.979933
"Mejoramiento de la planeación territorial, sectorial y de inversión pública",Intersubsectorial gobierno,Apoyo al desarrollo de proyectos a través del fondo regional para los contratos plan.  nacional,,74367323774.32379,301,Inversión,Departamento administrativo nacional de planeación,3,Planeación,2019,108563799000.11865
"Mejoramiento de la planeación territorial, sectorial y de inversión pública",Intersubsectorial gobierno,Apoyo técnico para la implementación de las estrategias de la política logística  nacional,,3796552500.7260633,301,Inversión,Departamento administrativo nacional de planeación,3,Planeación,2019,5542328830.23993
"Mejoramiento de la planeación territorial, sectorial y de inversión pública",Intersubsectorial gobierno,Fortalecimiento de las entidades territoriales   nacional,,17499999999.999783,301,Inversión,Departamento administrativo nacional de planeación,3,Planeación,2019,25547059999.999683
"Mejoramiento de la planeación territorial, sectorial y de inversión pública",Intersubsectorial gobierno,Mejoramiento de la articulación entre nación - territorio para el desarrollo territorial y la gestión de políticas públicas  nacional,,16918999999.999788,301,Inversión,Departamento administrativo nacional de planeación,3,Planeación,2019,24698897607.99969
"Mejoramiento de la planeación territorial, sectorial y de inversión pública",Intersubsectorial gobierno,Implementación del sistema nacional catastral multipropósito desde el dnp alcance  nacional,,5450384800.319421,301,Inversión,Departamento administrativo nacional de planeación,3,Planeación,2019,7956646143.819901
"Mejoramiento de la planeación territorial, sectorial y de inversión pública",Intersubsectorial gobierno,Fortalecimiento del sistema nacional de evaluación de gestión y resultados.  nacional,,9999999999.999874,301,Inversión,Departamento administrativo nacional de planeación,3,Planeación,2019,14598319999.999817
"Mejoramiento de la planeación territorial, sectorial y de inversión pública",Intersubsectorial gobierno,Consolidación de la política nacional de servicio al ciudadano a partir de prácticas  innovadoras en el territorio   nacional,,5987999999.999925,301,Inversión,Departamento administrativo nacional de planeación,3,Planeación,2019,8741474015.99989
"Mejoramiento de la planeación territorial, sectorial y de inversión pública",Intersubsectorial gobierno,Apoyo a entidades públicas para proyectos de inversión  nacional - distribución previo concepto dnp,,10599725506.0992,301,Inversión,Departamento administrativo nacional de planeación,3,Planeación,2019,15473818485.019806
"Mejoramiento de la planeación territorial, sectorial y de inversión pública",Intersubsectorial gobierno,"Ampliación de las capacidades en el diseño y seguimiento de políticas, para el desarrollo sectorial  nacional",,14273999999.99982,301,Inversión,Departamento administrativo nacional de planeación,3,Planeación,2019,20837641967.99974
